Measures of income dispersion,2017,2016,2015,2014,2013,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967
10th percentile limit,14219,13901,13719,12724,12858,13071,13088,13107,13364,13881,13880,14414,14625,14203,14188,14077,14511,14831,15105,15269,14621,14078,13906,13902,13173,12875,12881,13064,13353,13782,13113,12910,12808,12847,12838,12339,12387,12613,12781,12965,13206,12940,12782,12712,13069,12981,12396,11626,11446,11713,11418,10489
20th percentile limit,24638,24518,23591,22213,22134,22029,22033,22132,22534,23425,23639,24048,24418,24131,24048,24027,24480,24941,25580,25291,24292,23527,23049,23073,22031,21722,21639,22162,22802,23153,22739,22356,21940,21658,21408,21005,20559,20824,21240,22108,21847,21187,21232,20771,21849,21744,21282,20567,20835,21192,20576,19305
40th percentile limit,47110,46581,45020,42688,43251,42358,42533,42075,42815,44151,44512,46340,46038,45298,45109,45426,45606,46237,47106,47110,45834,44609,43326,43125,41351,41342,41458,42243,43163,44024,42952,42434,41967,40749,40066,39057,39101,38929,39832,41059,41308,39906,39557,38983,40528,41812,40987,39207,39913,40664,39010,37644
50th (median),61372,60309,58476,55613,56479,54744,54569,54673,55520,57010,57412,59534,58746,58291,57674,57875,57947,58609,59938,60062,58612,56533,55394,54600,52942,52334,52615,53025,54621,55329,54390,53945,53309,51455,50511,49021,49368,49502,50301,51990,52089,50148,49833,49020,50338,51984,50955,48862,49342,49728,47946,45965
60th percentile limit,77552,76479,74498,70699,70830,69039,69079,68196,69293,70781,71589,73480,73126,72552,71849,72752,72640,73560,74475,74361,72859,70275,68682,67300,65800,64985,65090,65248,66034,67664,66938,66239,65132,63126,61728,59945,59742,60210,61066,63170,62501,60827,60258,58907,59886,61865,60577,57695,58054,58809,55915,53429
80th percentile limit,126855,123621,121060,116355,116186,111631,111344,110956,112704,114530,114406,118516,118260,115390,114482,116058,114799,115892,116716,116937,113048,109232,106154,104349,103116,101013,99622,99902,100702,102807,101074,100109,98455,94941,93247,90593,89087,89017,89412,91592,90900,88680,86695,84580,86914,89073,86703,82267,82827,82396,78565,76190
90th percentile limit,179077,174203,167804,163221,163821,158102,156166,156864,156362,157631,157845,161182,162097,158656,157235,157921,155921,157707,159873,159067,152690,149200,143666,140521,139285,136930,133185,133563,135170,137727,133852,132071,129219,124526,122654,118569,117485,116280,116176,118561,117567,113103,111168,108425,112072,114976,111400,105540,105504,104548,99074,96781
95th percentile limit,237034,230095,221900,214100,216208,206587,204466,203165,203355,206156,205438,209773,212081,208874,204439,205912,204961,208882,207293,209575,199264,193333,186571,181061,180206,175289,170058,169675,172835,175619,171090,167517,165096,156871,154360,149047,147058,143258,143892,148001,145420,140409,137486,133470,137567,143164,139539,130642,130926,129225,122913,122264
