State FIPS code,State,County FIPS code,County name,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
0,US,0,Total [11],142847788,53263498,80899174,287384599,90844951,8035953597,117467882,5801702070,54779676,141835806,27717500,179957421,24739080,133643408,22739653,270831738,1942508,21214816,339337335,12382268,192490568,26081270,542956766,15080505,121468841,15914975,188225383,906342,18883626,47078390,1229642268,33158530,246202981,11450316,17641511,41024319,173610174,46729345,448323731,36663663,389894945,38316978,169683555,107089971,5456267604,48044508,63796571,23493056,28257912,6185019,3284973,7108963,6204407,27473876,60483002,24033169,52472547,21101667,27904713,4037318,27362170,93384728,994606879,102585410,1046394030,23660898,99651232,113613241,379783973
1,AL,0,Alabama,2100274,785681,1273772,4389348,1388578,97604671,1733560,72276379,648344,1508016,280440,1438543,246271,1103934,340738,2882806,49990,209185,2125463,155998,2239541,401412,8250377,177478,956278,239712,2662189,7094,130896,597252,12580721,472832,2009415,104431,139590,502832,646669,594024,2954116,470141,4048346,515552,2830060,1486268,63024651,697410,870595,363507,415146,99047,51585,112497,95026,548773,1379125,500205,1233638,403905,529032,24706,127111,1253809,10336547,1403055,10948191,307476,1190657,1724696,5602752
1,AL,1,Autauga County,24821,10183,11995,52230,17506,1141741,21177,898499,7893,10302,3179,6121,2739,4010,3414,25106,419,2176,12678,1624,17829,4932,112072,1641,8967,2823,30999,39,594,7237,139264,5747,19954,1242,2461,6212,4726,7208,28713,6091,52925,6103,28805,18789,718586,9123,11827,5120,6709,1382,772,1163,953,5597,13789,5130,12497,3980,5075,129,486,16201,103549,17539,109480,3594,13210,20634,61798
1,AL,3,Baldwin County,85312,37613,47626,175253,52276,4331432,67180,2944594,30721,76050,16407,85725,14407,61562,15786,168253,1196,13113,107779,9520,155146,19457,440869,6565,38951,13675,160280,403,6531,27586,611052,19960,83744,6595,8687,23246,30650,27422,128949,21775,218889,22828,103703,63304,2909193,27176,35888,14516,17776,3900,1960,3910,3440,16531,37710,14536,32902,12531,15948,1319,6542,55683,482358,61483,517828,18120,82619,63313,186866
1,AL,5,Barbour County,10873,3367,7821,22943,7228,368337,9024,281232,2853,6459,1184,4808,1087,3810,1546,6718,469,890,15870,667,8912,1795,34269,946,4599,1199,12728,21,345,2149,42163,1587,5600,473,1559,1748,1755,2130,9862,1522,11659,1896,9528,6909,210867,3208,3108,1859,1764,372,186,377,316,3966,10186,3682,9389,2813,3543,43,155,5455,29634,6199,31857,1175,3508,9366,29558
1,AL,7,Bibb County,8639,3517,5068,18539,5921,326695,6801,256627,2115,3496,619,1376,507,781,1268,8843,203,494,6719,476,6161,1417,23387,892,4003,897,8880,0,0,1774,32550,1467,4874,253,302,1447,825,1763,6383,1399,9636,1507,6988,5659,193657,2642,3188,1710,2083,344,157,357,303,2416,5997,2172,5337,1676,2066,35,142,4788,26954,5387,28910,959,3154,7289,22279
1,AL,9,Blount County,22197,11692,15452,50847,16358,945582,18476,732593,7120,14301,2161,8437,1843,6903,3811,28428,1241,1631,17120,1753,20990,4237,73904,2281,12170,2729,27971,35,431,5918,109203,4829,17442,950,1031,5099,4162,5889,23973,4829,38144,4952,20114,15979,569408,7705,9496,4839,6037,866,421,1234,1004,5209,11924,4602,10192,4184,5691,104,451,13650,79143,15537,85557,3066,8375,18411,54047
1,AL,11,Bullock County,3807,704,2647,8254,2943,115687,3309,89251,677,1581,267,1041,239,783,508,3845,202,222,1577,149,2111,500,10087,364,1861,296,2841,0,0,626,11247,469,1388,130,147,450,396,624,2081,386,2402,551,3001,2425,59387,1224,1220,686,578,159,100,138,115,1615,4501,1514,4214,1297,1623,20,73,1762,8277,2009,9129,415,1498,3302,11548
1,AL,13,Butler County,9080,2730,6207,18387,6019,310793,7426,225988,1956,4360,705,3024,610,2088,1368,11046,456,591,5000,533,6237,1530,25085,1126,5140,894,8613,0,0,1420,27507,1052,4519,318,343,1105,1000,1411,6107,986,6873,1147,6684,5804,178408,2764,2996,1583,1607,378,164,323,276,3374,9037,3129,8383,2206,2523,51,247,4631,27206,5231,29383,1079,2920,7633,25918
1,AL,15,Calhoun County,49014,20316,31421,103965,32438,2050807,40389,1539957,18073,26411,5962,18746,5187,12817,6807,61482,803,4035,14606,3549,39234,11466,235832,4607,24068,6357,62306,101,1970,12176,229434,9496,31869,2311,2676,10064,9092,12128,46667,9513,69282,10660,56577,35396,1238535,16332,18110,8876,10464,2117,1007,3029,2351,12668,29445,11455,26390,9115,11613,292,1106,30415,180406,33398,192252,6511,19045,41135,122486
1,AL,17,Chambers County,15039,4362,11223,32463,10404,488522,12811,390049,3357,5930,1319,4398,1157,3208,2678,6102,296,940,4618,911,10259,2634,36672,1879,10573,1379,13444,0,0,3042,52698,2403,7309,539,620,2390,2026,3025,10752,2250,14580,2618,12843,10025,254003,5391,5378,2524,2285,836,502,1091,901,5658,14419,5261,13346,3881,5008,57,266,7376,32680,8473,35181,1515,3785,13111,42134
1,AL,19,Cherokee County,9331,4707,7399,20217,6132,350825,7327,264757,2963,6104,1128,2877,1007,1971,1737,11750,569,878,3937,841,11630,2120,38345,1500,6889,1323,13012,23,182,2127,39286,1576,5441,504,554,1768,1763,2122,8284,1555,11739,1747,7444,6364,202322,2935,3067,1563,1796,271,131,595,455,2690,6328,2389,5432,1755,2142,48,162,5446,27127,6373,29877,1299,3219,7669,22931
1,AL,21,Chilton County,17727,7895,12177,41890,13783,695357,14906,550479,4457,8117,1539,5502,1309,4490,2964,22967,521,1193,8743,1112,15353,2944,52226,1756,9206,1850,19261,0,0,4087,78864,3295,10761,682,734,3355,2891,4057,15219,3129,23117,3443,16889,12227,398532,5703,6417,3710,4142,578,282,739,642,4786,12174,4316,10613,4243,6268,91,319,10095,54100,11408,58538,2257,6280,14985,45663
1,AL,23,Choctaw County,5677,2135,4148,11914,3856,224066,4400,175866,1538,3625,436,958,402,617,854,6084,343,446,6831,311,3269,1114,19466,495,2434,759,8096,0,0,1388,26365,1082,3698,262,299,979,558,1382,4897,820,4551,1159,6011,3796,134856,1813,2342,1059,1281,188,98,263,211,1648,4244,1499,3830,1089,1240,50,160,3175,18830,3589,20324,714,1901,4708,15884
1,AL,25,Clarke County,13330,3892,7938,25477,7846,443112,8998,335584,3347,7068,1230,4268,1078,3485,2049,10910,417,905,17712,729,10176,2204,36356,1242,7488,1305,14089,23,344,2661,52287,2096,7290,461,573,1940,1631,2644,10218,1744,11819,2338,12796,7290,266217,3681,4613,2058,2285,390,188,609,551,3713,10413,3452,9239,2515,2936,84,300,5926,37391,6996,40750,1365,4796,10395,32925
1,AL,27,Clay County,5559,2498,4126,12307,3783,193413,4612,155576,1784,3181,510,1280,453,920,843,7033,387,381,4480,341,4447,1091,19617,836,3930,640,6109,0,0,1081,19562,800,2376,256,302,879,627,1075,3546,775,5145,946,4785,3774,111882,1777,1844,1055,1127,195,101,332,253,1714,4125,1555,3733,1300,1694,22,75,3078,14667,3501,16011,687,1822,4695,14743
1,AL,29,Cleburne County,5640,2913,4207,12883,4144,219381,4650,175807,1908,2830,488,805,430,514,1010,6695,378,368,3257,439,5026,1027,17641,697,3586,623,5404,0,0,1314,25481,1068,3809,211,197,1083,944,1306,5248,1007,7490,1094,5837,3886,125947,1842,2133,1133,1394,193,86,304,239,1547,3571,1370,3010,1105,1452,28,132,3300,16815,3838,18534,701,1740,4744,14773
1,AL,31,Coffee County,21101,9307,12401,45075,14129,966905,17724,744495,7740,13332,2899,15651,2559,13242,2893,25549,900,2199,11677,1504,16967,5206,125932,1269,6800,2637,28860,57,1058,5461,108829,3877,14944,1352,2108,4674,5233,5424,23471,4461,40532,4429,22551,15440,644987,7192,9517,4046,4985,950,499,1088,928,5033,11660,4534,10563,3685,4772,156,532,13475,98056,14654,103729,3382,11682,17137,53000
1,AL,33,Colbert County,23870,10374,18059,48993,14621,1022218,19190,744730,8760,14659,2821,8688,2506,6314,4009,33467,767,1949,16673,2024,20981,5627,113136,2516,13048,3382,36085,35,509,6111,115966,4573,16457,1359,1543,5021,4293,6088,23633,4502,32202,5269,27137,17121,635366,7816,8736,4117,4785,883,408,1835,1470,6150,14678,5534,12618,4149,5060,196,695,14937,96024,16997,103272,3527,12337,19608,55838
1,AL,35,Conecuh County,5665,1720,3699,11493,3538,178485,4321,131895,1264,3111,374,1027,296,756,853,4838,365,338,3710,307,3685,948,16249,694,3824,585,5419,0,0,905,16305,682,2329,162,148,638,473,892,3133,563,3594,757,3551,3338,100821,1537,1544,866,863,175,97,217,148,2066,5676,1913,5187,1322,1516,30,111,2694,14814,3101,15962,662,1565,4725,15052
1,AL,37,Coosa County,3375,1241,2182,7025,2183,123224,2872,94918,876,1367,249,812,212,556,392,2258,104,185,1318,219,2330,718,10976,493,2618,394,3789,0,0,618,10842,470,1532,114,109,459,325,611,2102,452,2992,496,2355,2350,70877,1023,1067,591,642,128,67,140,125,1115,2738,1012,2528,714,809,0,0,1969,10442,2170,11002,353,763,2926,9705
1,AL,39,Covington County,15808,6704,9682,32891,10155,606723,12604,457924,4816,10259,1716,7898,1489,6437,2497,18909,989,1358,11132,1255,15229,3013,52770,1927,7403,1970,18750,33,529,3027,62116,2315,8562,611,659,2377,1950,3004,11659,2191,16664,2300,11909,10569,365991,4723,6270,2649,2958,605,307,635,614,4612,11221,4150,10077,3113,3751,139,541,8962,52931,10147,57351,2182,7117,13000,39479
1,AL,41,Crenshaw County,5950,2256,4195,12452,4092,205540,5027,171518,1520,3096,459,1378,388,1026,910,2894,532,420,4555,301,3804,1015,19233,603,2515,616,5937,0,0,1062,20282,783,2488,247,308,825,621,1054,3652,731,5170,893,4036,4146,123179,1956,2481,1132,1302,227,111,350,276,1917,4550,1742,4104,1202,1442,31,90,3420,16014,3846,17385,732,2251,5037,15333
1,AL,43,Cullman County,32924,16360,23548,73573,22246,1383902,26945,1032099,11118,22990,4039,9307,3520,6631,5966,46995,2207,3252,57529,2685,35184,6242,111663,3496,18459,3908,39467,87,1206,7751,152334,6086,22052,1457,1575,6433,4727,7723,29747,6031,49993,6383,30907,23200,844705,10849,12555,6249,7394,1206,554,2010,1626,7889,17674,6836,15081,6107,8887,228,891,19811,123472,22641,134046,4425,17396,27370,80590
1,AL,45,Dale County,20443,8710,11493,43267,13787,831062,17098,648040,6484,9192,2168,3775,1809,2523,2600,16744,522,1546,5075,1364,15025,4718,104828,1465,8234,2510,25295,32,384,4242,75046,3001,9802,1040,1638,3526,3154,4195,15571,3293,24874,3468,16992,14776,507286,6620,7445,3801,4490,895,453,977,757,5605,13409,5111,12238,3999,5117,80,276,12627,71529,13840,75619,2954,6946,16982,51277
1,AL,47,Dallas County,21757,4020,12251,42626,13795,600759,15600,457961,3673,7311,1678,6759,1466,4420,3066,25158,559,1299,10903,907,11568,2799,47185,2053,10754,1669,17359,25,527,3532,64699,2712,8573,643,754,2515,2280,3499,12494,2300,14605,3179,17875,11310,321300,5785,6829,2606,2380,782,484,949,954,8328,24973,7959,23013,5728,7081,99,398,8320,43775,10159,48509,1936,6930,18873,63969
1,AL,49,DeKalb County,27670,12859,21490,64272,21241,952776,22983,757033,7995,13191,2630,10149,2280,7628,4974,33340,2420,1914,9942,1709,21571,4567,74724,4085,22368,2589,23375,47,723,4719,89015,3588,12249,1049,1282,3824,3203,4700,17875,3430,24760,3924,18954,17996,514999,9208,9376,5358,5533,845,381,1950,1433,8141,19785,7194,17178,7267,10895,157,834,14416,70389,17038,77927,2917,8433,23877,73471
1,AL,51,Elmore County,36521,14843,19200,74745,23442,1684255,31090,1287700,11424,16614,4381,11501,3816,7732,5598,44122,659,3197,14966,2595,34098,7849,184568,2295,13104,4450,50695,88,1289,11268,220686,8957,33256,1957,2806,9662,7374,11218,45444,9459,85114,9452,44012,27631,1051486,12482,15892,6983,8526,2189,1230,1879,1668,8683,21664,7933,19661,5961,7509,199,743,23867,153304,25989,163134,5550,16779,30124,91078
1,AL,53,Escambia County,14493,5441,8973,31367,10384,551926,11894,410646,3999,7946,1384,6742,1192,5379,2232,14944,464,1009,11769,1117,16017,2792,49404,1250,7060,1814,18660,47,809,2952,57960,2266,7234,574,625,2261,2204,2922,10767,2049,13862,2451,13779,9986,319411,4684,5185,2809,3034,577,305,736,599,4710,12117,4360,10988,3452,4298,99,478,8161,44110,9246,48096,2122,6620,11886,37465
1,AL,55,Etowah County,42429,18223,29941,89679,28292,1761002,34565,1300891,13361,28800,4734,16296,4115,12623,7451,69823,1149,3446,41554,3358,38300,8940,156577,4213,20409,5581,54976,109,2075,10949,208927,8728,36372,1925,2250,9242,8400,10913,49753,8371,61067,9604,44900,29610,1055891,13986,15407,7541,8633,1658,772,3362,2388,12092,29339,10884,25701,8365,10341,334,1423,25218,159304,28819,172767,5548,19517,35592,107586
1,AL,57,Fayette County,6325,3172,4930,13889,4377,234345,5082,188578,2017,4162,569,1347,498,892,1140,6556,435,443,2224,463,6299,1352,21313,886,4528,798,7337,0,0,1169,20088,916,2903,210,198,948,555,1159,3860,799,5111,1013,5355,4367,138884,1921,2340,1204,1429,212,107,334,279,1814,4333,1627,3783,1182,1392,24,70,3748,18285,4303,19971,833,1793,5240,15517
1,AL,59,Franklin County,13689,5711,11278,35868,10435,490533,11770,381355,3848,7611,1066,4325,901,3460,2075,19898,867,754,10857,770,8013,2125,32341,1513,6788,1241,11828,22,634,2193,40973,1747,6347,386,422,1784,1455,2184,8737,1560,9959,1807,9013,8613,266360,4352,4344,2926,2871,353,141,617,526,3489,8759,3137,7659,4740,8689,103,369,6565,38762,7727,42264,1472,6300,11878,36483
1,AL,61,Geneva County,10547,4846,6714,22354,6930,379914,8580,293664,3524,7423,974,2148,820,1623,1635,11225,816,798,8233,795,8105,2179,40829,973,5818,1297,12330,0,0,1740,32646,1284,4346,413,870,1384,1096,1734,6614,1297,9853,1376,6907,7124,233823,3006,3511,1728,2017,383,203,416,337,3038,7544,2735,6633,2035,2437,45,179,6167,33343,7061,36025,1468,5705,8678,25231
1,AL,63,Greene County,3817,624,2338,7860,2637,101138,2850,76970,673,1650,335,4513,297,3909,547,1864,310,182,2045,137,1289,591,10208,465,2314,277,2888,0,0,707,12872,562,2031,103,116,490,382,699,2753,435,2432,645,3314,2056,49468,1131,1044,600,473,81,43,116,85,1711,5087,1626,4685,1121,1304,22,70,1388,6255,1774,7025,285,791,3386,12536
1,AL,65,Hale County,8205,1838,4581,15810,4900,221251,5521,175943,1519,3964,525,2375,455,2090,1030,4170,454,345,2950,323,3538,1052,18454,666,3035,643,6277,0,0,1288,21676,1034,3009,206,213,966,618,1281,4136,929,6270,1130,5316,4356,121581,2226,2472,1241,1280,339,180,283,234,2577,7236,2422,6595,1770,2045,24,93,3420,15472,3987,17043,796,2156,7198,20921
1,AL,67,Henry County,7472,3070,4873,15761,4908,309892,5997,226498,2471,4843,904,2620,778,1929,1054,12895,453,729,4937,622,7978,1519,29130,627,3678,971,9417,0,0,1749,35086,1293,5607,390,473,1393,1145,1730,7585,1326,10408,1471,7868,5137,190808,2307,2779,1358,1494,321,161,377,332,2139,5208,1933,4676,1435,1758,41,407,4330,31215,4812,33157,1053,3733,6135,18850
1,AL,69,Houston County,46084,17433,28983,97437,30167,2106949,38312,1577753,14553,47726,6066,23642,5335,17249,6968,64656,1006,4705,35881,3750,51928,8392,169545,3055,16641,5260,56983,142,2473,11715,256135,8862,38993,2500,3386,9878,10059,11626,54549,9337,82237,9858,65312,31957,1356114,14150,17124,7881,8788,2124,1112,1755,1486,12607,31421,11432,27994,9364,12188,542,2379,27345,231352,30681,245608,6591,31351,37976,123871
1,AL,71,Jackson County,21587,10417,15226,46114,14104,851245,17755,653174,6810,18654,1916,6097,1676,4548,3528,25689,1383,1561,7847,1657,19656,4490,80846,3538,15890,2754,26736,37,650,3991,73343,3001,10921,877,1108,3290,2737,3969,15668,2924,21954,3227,14498,15477,511991,7042,7730,4033,4534,657,309,1341,1196,5570,12403,4923,10833,4004,5123,120,374,13151,73255,14823,78833,2923,7312,17959,52649
1,AL,73,Jefferson County,301115,93503,172094,614482,198531,16550500,251963,11770017,91796,272037,48758,419934,43407,337124,49734,460400,1035,36094,519027,24205,421677,53694,1028857,21197,122261,32748,394765,1842,42809,107224,2558873,87416,450532,15991,22614,90398,188797,106654,700141,83818,766024,96038,619643,218769,11064830,103825,131926,47565,52642,16940,9150,15384,12921,78661,201607,72380,180709,56676,73022,6510,37996,183467,2057884,204559,2175822,46201,220680,245947,865813
1,AL,75,Lamar County,5460,2781,4381,12073,3788,202638,4429,153994,1781,3927,498,1398,443,893,1093,4387,495,381,9083,490,4869,1119,17233,923,3654,663,6312,0,0,1048,19031,802,2464,214,185,762,437,1043,3288,636,3723,900,5023,3693,115485,1720,1977,1027,1227,238,125,243,195,1628,3847,1462,3399,1091,1316,22,88,3122,14725,3615,16096,643,1593,4589,14344
1,AL,77,Lauderdale County,37916,17494,29265,77369,22535,1790693,30005,1231232,15268,30430,5552,23774,4995,15065,6938,73150,1739,4163,37659,3781,44306,8959,189282,4063,21067,5556,61311,135,2373,10233,209271,7607,31738,2394,2786,8545,8188,10189,44958,7605,56437,8898,49285,27139,1147160,12454,14843,6062,7569,1218,527,3058,2433,8682,20033,7630,16981,5762,7196,399,2081,23837,188535,27188,201905,5825,21751,30638,91570
1,AL,79,Lawrence County,13676,6566,11048,29417,9248,539799,11418,429167,4168,5240,1338,2265,1163,1553,2290,12542,1462,914,4126,884,12481,3018,55450,1876,10246,1601,15650,0,0,3009,50491,2257,7032,661,755,2404,1323,2995,9776,2271,14862,2610,12181,9922,319623,4747,5743,2795,3365,451,255,1030,861,3649,8653,3277,7465,2461,2858,49,119,8540,41627,9726,45140,1903,5085,11385,33282
1,AL,81,Lee County,58277,21455,33988,123716,39071,2679821,50442,2059894,17845,35890,9120,35792,8129,25775,9627,87148,630,6588,47985,3487,55803,10192,224786,3918,22736,5644,68508,267,4414,18255,379248,14731,65427,2645,3489,15669,22326,18162,97174,14902,139639,15303,77781,42583,1680727,21755,25969,10832,12401,3791,2071,2857,2467,14228,34641,13038,31367,11109,15725,679,3022,35054,261478,38587,279516,8525,33574,48296,152659
1,AL,83,Limestone County,35741,16852,21907,78356,24171,1853000,30190,1434043,12620,19709,5089,12426,4509,8424,5540,40854,1365,3688,22005,2731,37093,8238,195449,3351,19567,4248,45046,69,1016,11449,230909,9373,37147,1814,2249,10198,9975,11407,52056,9702,85604,9886,50189,27168,1203314,12964,15835,7040,8601,1759,904,2511,2190,7421,17068,6595,14750,5970,8361,377,1688,23656,189442,26116,199654,5601,18046,29215,88469
1,AL,85,Lowndes County,5716,1125,3337,11791,3948,170957,4741,132322,888,1692,349,971,288,619,1077,6129,306,327,2768,231,3630,744,14884,550,2688,415,4275,0,0,922,15986,680,1935,180,245,654,634,913,3087,650,4437,804,3961,3587,90216,1845,1941,888,808,260,156,198,167,2599,7734,2497,7236,1650,1919,20,66,2593,11912,3029,13168,588,2031,5029,18294
1,AL,87,Macon County,9678,1515,5569,17583,5679,279578,7981,216563,1600,2452,544,890,428,603,1787,7558,275,361,1880,334,4284,1703,35296,849,4407,832,8022,0,0,1820,33871,1329,4558,335,742,1362,1301,1798,7285,1262,8242,1622,8742,6375,143220,2706,2651,1141,1004,362,205,384,296,3718,10589,3509,9898,2224,2554,39,139,5064,19314,5739,20668,1018,2067,8467,27048
1,AL,89,Madison County,158186,63902,76531,326349,101125,9792109,133051,7309990,64040,119124,30792,126818,27083,88608,23643,224969,1859,23114,186723,13976,200619,36336,1008354,10364,58274,19345,229302,612,10324,58129,1253695,47496,220738,8837,11735,52112,71787,57881,319699,48280,446411,50544,286889,122223,7297213,56601,68939,26312,31941,8259,4117,10594,10033,29192,64798,26134,57314,22066,28998,2663,12808,108216,1230366,116623,1246307,28327,110231,125556,445925
1,AL,91,Marengo County,10793,2887,5963,21200,6415,332774,6975,253577,2410,5376,856,4119,750,3148,1366,8968,540,705,6374,616,7083,1775,31261,767,4451,1064,11511,0,0,1946,37199,1487,5224,379,424,1569,1296,1932,7447,1382,9758,1668,9440,5569,199597,2689,3134,1586,1740,397,190,448,407,3080,8489,2882,7648,2089,2418,68,265,4568,28882,5361,31309,1062,3921,9361,26427
1,AL,93,Marion County,10936,5450,8295,24142,7359,402459,8844,303327,3810,8008,1123,4878,967,4093,2083,14523,837,782,5672,756,7823,2212,34367,1951,9602,1356,13234,0,0,2027,37478,1603,5796,370,388,1631,1058,2015,7582,1440,9342,1700,9280,7286,229688,3258,3604,1987,2262,336,153,619,480,3201,7356,2798,6274,2212,2850,63,266,6224,31616,7322,34884,1449,4619,9080,26851
1,AL,95,Marshall County,40382,17589,29441,94891,29374,1615543,33445,1198780,11995,25915,4469,13925,3836,9484,7025,50920,1747,3568,18120,2894,36228,7461,156994,3412,17336,4632,46796,99,1949,8813,174538,6736,25309,1859,2167,7564,7647,8777,37258,6876,55745,7476,36593,26961,944111,13839,14894,7905,7902,1417,641,3100,2467,10430,25434,9269,21866,11064,17730,318,1215,21571,144542,25063,156419,4986,17813,34232,107440
1,AL,97,Mobile County,183636,58925,113183,374188,124165,8008879,151747,5945260,46487,108578,20625,88918,17652,65087,33074,284283,1252,15129,171803,11868,164060,31127,569958,14484,80882,18863,206105,1086,14068,51141,1046190,40378,153460,8971,12133,41247,54006,50815,233273,39253,314447,43336,216862,126561,5019783,60324,78734,30913,34801,8635,4472,8890,7820,56378,153118,52167,136714,39234,48358,2254,9907,104314,819316,120847,878465,27507,110557,148139,502278
1,AL,99,Monroe County,9483,3245,6013,20292,6665,351303,7136,267335,2410,5210,877,2758,746,1886,1629,10277,538,630,5728,704,10457,1894,33841,1191,7292,1036,10930,20,176,1841,34277,1406,5096,351,462,1385,969,1828,6977,1215,8025,1552,8604,5662,209910,2635,2969,1489,1639,386,213,372,335,3285,9741,3074,8724,2212,2737,83,214,4617,31985,5531,35090,1354,4564,7363,24489
1,AL,101,Montgomery County,120827,26592,59918,219262,69833,4896626,102333,3636125,28340,70491,14083,85367,12475,65789,19936,148303,1098,10503,139138,6701,96707,18979,457608,6059,33688,11200,137908,403,8945,30696,648334,23270,96296,6086,8637,25491,26653,30472,138254,24333,213551,27081,171676,84407,3145558,36461,40699,15501,16067,5903,3370,4623,3917,36121,101157,33933,94391,24171,31518,1276,6218,69545,532744,76006,563986,15639,63497,102640,339776
1,AL,103,Morgan County,53534,22964,34749,119730,36464,2527257,44633,1828552,17551,38956,7517,28610,6697,21503,7850,64719,1531,5399,40450,4476,62224,11565,244496,5555,29551,6760,76117,112,1908,14649,289254,11284,44411,3011,3725,12741,11252,14586,63549,11635,87162,12803,75185,38666,1596365,18321,24311,10235,11365,2165,1120,3313,2909,12187,28138,10870,24726,10812,17225,451,3958,32625,254495,36264,268254,7826,24352,44119,137781
1,AL,105,Perry County,6373,780,2703,11213,3064,110332,3220,85322,716,2126,245,979,210,703,795,5347,256,203,1599,176,1856,565,10512,402,2029,347,3360,0,0,572,10004,447,1083,89,82,400,274,570,1600,332,2118,514,2711,2223,52933,1194,1276,617,574,127,75,130,117,1973,6211,1888,5555,1362,1670,0,0,1566,6200,2128,7291,364,907,5856,15493
1,AL,107,Pickens County,8006,2798,5280,17479,5615,285959,6582,218292,2155,4449,710,7306,613,6848,1088,8407,480,484,6425,504,5006,1485,24693,844,3911,905,8759,0,0,1480,27195,1166,3926,274,268,1179,879,1475,5489,1032,6693,1295,6999,5153,162789,2437,2570,1498,1596,258,126,341,278,2789,7533,2580,6955,1932,2509,37,210,4196,22295,4851,24109,991,3069,6780,21052
1,AL,109,Pike County,13332,4154,9050,27422,8513,615465,11260,388297,3552,13686,1429,75677,1248,74608,1919,12218,671,1112,7520,686,8098,2145,45340,904,4317,1350,15645,30,438,2581,54410,2027,11620,487,572,2099,1890,2571,14683,1938,15725,2168,11270,8803,413386,4170,4948,2164,2261,554,309,697,521,3961,9881,3649,9040,2984,3926,84,298,7185,70296,7977,73561,1791,7269,11172,34527
1,AL,111,Randolph County,9071,3707,6962,20754,6728,325193,7352,246706,2843,6163,932,2928,846,2217,1513,10167,695,672,4408,722,8603,1706,30845,1237,6065,1026,10205,0,0,1875,36078,1452,4827,358,373,1511,1387,1868,7011,1381,11403,1583,7371,6164,179724,3018,3059,1785,1799,295,150,438,361,2910,7331,2648,6557,2176,2970,46,175,4883,24078,5656,26502,1284,3310,7458,23638
1,AL,113,Russell County,24823,7380,16252,51554,16997,812400,21081,660122,4631,7719,2209,5147,1914,3430,4559,21119,243,1348,8669,1048,11202,4422,73263,1921,11531,1914,17972,0,0,5297,96471,4230,12848,813,912,4219,4124,5247,19771,4151,31137,4469,21983,16617,429923,8490,9185,3759,3757,1292,711,1032,793,9357,25009,8748,22641,6299,7969,63,242,12645,55102,14850,60111,2513,6428,21786,75906
1,AL,115,St. Clair County,33624,16237,20131,72728,23002,1548587,28425,1242179,11207,17267,4150,10322,3621,7107,5459,40271,627,2854,13227,2677,39228,6542,121154,3170,18017,4073,43457,54,820,11649,217552,9607,34651,1699,2771,10152,7881,11587,47836,9898,84845,9819,38784,25359,963441,11788,15157,7060,8895,1903,988,2059,1619,7495,17311,6642,14970,5388,6556,226,916,22280,137048,24725,146768,4987,13486,27709,81590
1,AL,117,Shelby County,87232,41704,46115,189541,62321,5895368,73983,4497081,35893,82371,19889,84242,17684,59864,15498,216185,672,15081,169730,8946,175571,16023,330667,5707,33688,10448,140312,573,11540,41772,974759,35109,177048,5762,8649,37302,60107,41635,256558,35742,366365,36892,199910,68945,4179120,32654,45204,17358,23069,5808,3038,5129,4284,12037,25725,10427,21862,10452,14242,2438,11240,62021,755218,67064,796088,17269,92609,66804,218919
1,AL,119,Sumter County,5522,1119,3330,11033,3720,166121,4305,122313,1031,2382,398,2841,335,2455,945,3469,386,283,3652,214,3156,812,14369,580,2843,460,4604,0,0,943,17019,726,2671,182,268,700,442,939,3635,618,3334,849,4848,3165,91077,1746,1702,774,682,203,110,242,212,2301,6366,2168,5908,1514,1731,0,0,2219,13713,2679,14884,545,1585,4830,16756
