State FIPS code,State,County FIPS code,County name,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
46,SD,93,Meade County,12740,5861,6205,25228,7329,548604,10717,412956,4902,9822,2166,4641,1932,2941,2102,18920,966,1999,24488,1063,10020,2328,45014,613,3042,1331,12709,48,710,2832,49940,135,476,2339,3082,2566,8122,2776,11835,2342,20448,1862,6225,9820,356456,4475,5411,2210,3018,829,474,739,480,2212,4579,1913,4054,1600,2304,89,379,8499,49992,9293,54318,2073,8333,10218,28473
46,SD,95,Mellette County,742,260,541,1652,592,17843,618,15079,206,410,93,90,78,53,133,806,199,180,3323,38,296,91,1080,25,136,70,553,0,0,34,575,0,0,28,24,0,0,30,49,0,0,21,113,422,11730,181,235,127,150,22,11,0,0,282,613,250,575,181,233,0,0,325,1218,416,1498,130,409,574,1790
46,SD,97,Miner County,1114,523,833,2197,631,50378,858,27875,560,1419,283,583,241,354,213,1698,321,325,2683,131,897,177,2160,57,266,192,1835,0,0,129,2687,0,0,115,127,102,181,127,341,51,391,101,472,853,34617,425,580,151,235,69,35,89,89,161,285,123,238,111,171,0,0,731,4962,848,6072,322,1840,727,1959
46,SD,99,Minnehaha County,89019,34642,44846,168859,49846,4732945,77660,3401624,32203,96548,17583,74731,15722,55258,11688,121211,1543,13474,134360,8823,111349,15519,273047,4471,22759,10120,114854,451,6785,23188,527520,1412,10989,19481,27935,20949,65175,22927,105710,19022,157379,18766,162476,71344,3216938,33827,45912,15735,21423,6492,3257,5730,4514,14334,27289,12584,24883,9792,12481,949,4576,63006,539757,66651,569225,14353,59459,72011,223922
46,SD,101,Moody County,3057,1303,2039,6252,1909,131081,2536,91841,1186,3174,537,2802,481,2369,437,3324,487,550,9196,287,2875,511,7410,233,1155,427,4600,0,0,391,7907,25,104,332,415,320,745,384,1273,255,1946,266,1612,2459,101026,1179,1658,558,777,183,91,222,219,443,874,377,781,403,609,28,138,2111,14619,2286,16460,775,4230,2174,6986
46,SD,103,Pennington County,50874,19708,23003,94674,26930,2478662,43056,1673596,19515,60336,10278,54947,9293,40839,7101,77445,915,7954,106811,5164,68602,9930,205472,2540,12942,6358,72110,329,6770,12005,249728,645,4419,9993,15226,10881,39183,11831,59843,9545,83970,8805,43015,39073,1730598,17761,21262,7854,10180,2655,1452,2620,1835,9432,18571,8313,17053,6111,7444,645,3086,34562,287456,36822,305065,8643,36727,40628,118461
46,SD,105,Perkins County,1420,700,1016,2741,737,47191,1029,29904,764,2940,318,560,270,294,278,1950,466,458,7991,140,1354,246,3855,44,202,195,1911,0,0,143,2980,0,0,116,94,70,130,138,276,41,187,83,610,958,33277,408,475,161,233,40,19,77,70,231,411,168,305,131,218,0,0,817,4066,1012,4928,355,1494,966,2207
46,SD,107,Potter County,1278,585,937,2364,610,65543,930,31525,651,2692,388,1433,303,975,254,2058,285,350,4629,161,1349,219,3067,37,177,257,2716,0,0,143,3104,0,0,122,133,85,182,141,495,52,394,99,483,980,49891,393,448,152,212,49,22,93,90,146,302,111,239,106,143,24,47,868,8622,983,9674,433,3341,769,2040
46,SD,109,Roberts County,4346,1641,2894,9078,3138,170870,3633,107472,1518,3901,684,1256,560,757,683,4896,743,706,8831,393,3512,727,10954,203,979,617,6314,20,372,394,7897,49,231,323,393,294,641,387,1283,200,1591,298,1427,3127,108219,1486,1825,842,1051,193,95,249,254,1180,2690,1042,2477,852,1087,32,166,2577,14793,2887,17360,991,5034,3190,9410
46,SD,111,Sanborn County,1143,541,869,2202,598,42657,895,29295,491,1131,186,353,161,184,224,1072,354,285,4078,123,944,200,2955,37,148,166,1547,0,0,104,2260,0,0,92,93,55,102,100,223,43,332,66,196,841,30600,388,442,151,196,67,32,108,84,200,339,149,290,130,183,0,0,717,4025,833,4799,302,1486,775,1925
46,SD,113,Shannon County,3992,626,3098,11030,5546,108827,3704,98013,244,262,57,101,43,36,458,2297,153,105,1387,114,649,484,5227,383,1596,174,1613,0,0,54,995,0,0,39,127,32,77,52,270,28,266,30,94,2235,54286,1451,1936,1237,1476,85,45,47,26,2233,5528,2130,5252,1671,2146,32,29,1519,5990,1956,6556,294,649,3644,13725
46,SD,115,Spink County,3094,1386,2129,5950,1694,153075,2398,80667,1416,4197,636,2953,540,2018,536,5514,629,637,11848,321,2848,580,9214,88,470,495,5431,36,712,317,5963,20,113,283,352,217,396,312,868,139,902,240,949,2494,109503,1123,1648,456,654,177,91,241,246,401,797,325,687,307,432,77,204,2210,16427,2439,19648,957,8253,2012,5486
46,SD,117,Stanley County,1542,654,849,2874,782,74681,1336,53878,582,1629,319,1400,285,1086,270,2542,206,302,6002,118,993,246,6119,46,162,210,2664,0,0,295,6238,0,0,254,401,262,871,291,1334,228,2105,204,1002,1225,54297,509,621,241,303,95,51,74,114,240,494,205,436,162,210,23,92,1086,8534,1186,9167,329,1671,1163,3776
46,SD,119,Sully County,772,338,555,1444,405,31225,605,21026,406,1305,189,821,177,557,164,906,192,190,5336,70,401,109,1588,0,0,119,1499,0,0,109,2098,0,0,99,125,78,155,107,293,69,646,75,494,614,34633,247,316,111,161,47,28,43,25,81,153,64,141,58,84,0,0,549,6003,594,6772,242,3365,484,1264
46,SD,121,Todd County,3007,518,2430,7519,3580,79191,2782,68280,257,245,92,322,85,234,339,1923,126,115,2358,62,276,241,3695,188,798,140,1280,0,0,51,1103,0,0,41,46,30,47,49,122,27,127,35,263,1674,39729,946,988,765,831,56,21,32,22,1658,4188,1568,4031,1243,1569,0,0,1151,4738,1357,5173,230,696,2733,9934
46,SD,123,Tripp County,2650,1215,2048,5190,1494,98149,2065,61710,1110,3071,534,924,469,553,540,5801,671,710,9327,254,2072,397,5602,56,322,367,3716,21,264,251,4861,0,0,212,235,175,399,248,720,129,901,173,722,1856,66804,830,977,363,452,138,59,181,142,529,1103,441,950,358,456,0,0,1550,9134,1859,11011,684,3425,1832,4727
46,SD,125,Turner County,3928,1963,2714,7971,2367,176988,3229,121644,1805,3478,869,2243,722,1569,792,6074,740,794,6958,449,3371,669,8429,166,802,531,5452,46,569,675,12152,37,185,590,760,570,1257,663,2236,435,3303,536,2146,3084,118805,1548,2185,730,1093,299,157,320,304,515,981,413,805,415,578,37,88,2694,15970,3008,19282,918,5529,2823,7632
46,SD,127,Union County,7033,3364,4828,14326,4502,828695,5967,390527,3348,20898,1741,35074,1559,28754,1186,13985,435,1536,102986,753,11165,1301,21087,427,2471,982,12176,77,1611,2173,73027,1092,14803,992,2153,1930,8573,2160,25987,1691,17138,1828,15295,5775,690718,2888,6161,1235,1786,525,266,545,585,819,1648,690,1465,580,777,239,1829,5215,160589,5557,164942,1589,12937,5176,27129
46,SD,129,Walworth County,2694,1186,1929,5180,1437,123889,2149,68430,1187,4207,653,2018,563,1484,517,3875,342,555,9051,321,2487,513,8319,114,608,439,4360,0,0,313,5922,28,72,258,335,229,531,301,947,159,1113,227,1256,2001,85672,842,992,364,500,97,47,163,151,494,981,422,864,323,396,39,159,1742,13676,1935,14951,639,4826,1931,4935
46,SD,135,Yankton County,10476,4357,6207,19980,5807,509369,8743,342023,4408,13605,2211,9448,1977,7084,1601,16664,671,1729,18828,1180,12809,1881,29240,450,2211,1392,15114,87,1172,1783,37289,174,1288,1508,2349,1582,4915,1769,8642,1249,9837,1410,8358,8102,347146,3843,4900,1715,2428,716,332,695,714,1687,3229,1425,2857,1102,1490,128,423,7175,55674,7749,60230,1969,9520,8109,22474
46,SD,137,Ziebach County,479,166,365,1133,453,13067,408,11423,157,547,47,75,42,55,78,778,140,91,1805,0,0,58,604,22,88,40,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,8840,153,155,106,117,0,0,0,0,190,470,178,432,146,189,0,0,202,1068,278,1253,73,423,387,1254
47,TN,0,Tennessee,2845639,1116244,1548098,5861469,1816556,136049918,2368129,101548728,926586,2115547,400298,2807000,354063,2248159,497271,6555386,72407,316109,4177180,221860,3252200,522505,9573480,270158,1682047,313254,3498103,15305,318618,685077,15025945,50507,376555,561418,1169381,613993,1455983,673960,3051145,554918,5226270,555660,3529945,2056447,89855175,920080,1103157,473515,550412,117760,60534,145386,128639,676949,1542080,598737,1341138,497332,660515,31733,147100,1769985,15286488,1984711,16522431,407165,1614815,2350162,7749866
47,TN,1,Anderson County,33564,14521,16422,68825,19600,1591359,27032,1166380,12684,24069,5295,19084,4601,12995,4886,57408,452,3743,21948,3401,40489,7925,168054,2801,18126,5048,60718,169,3511,7091,138837,395,2351,6043,12975,6481,13924,6987,29632,5444,47431,5647,31258,24984,1047329,10963,12133,5473,6518,1107,547,2173,1974,6995,15053,6149,12912,4956,7024,261,753,22103,165505,24222,176678,4944,14298,27493,78122
47,TN,3,Bedford County,19353,7898,12483,44738,14231,698747,16007,552026,5928,15201,2111,8042,1902,5656,3216,35334,1291,1635,13561,1427,18508,3276,48456,2368,16137,1951,19912,53,924,3116,58645,168,938,2638,4732,2675,3915,3073,9856,2439,20375,2236,10798,13131,416059,6267,6835,3944,4303,712,344,849,771,4937,11107,4343,9672,4705,7254,86,319,10609,59086,12187,66201,2387,7314,16283,48872
47,TN,5,Benton County,6764,3062,4423,13684,3938,239668,5219,172338,2405,6893,784,2289,703,1745,1214,9610,433,590,2242,495,5262,1606,29366,994,6061,993,9398,0,0,919,17363,60,209,772,1453,769,1010,900,2778,637,4371,652,3262,4560,139769,1847,1869,952,1041,152,68,352,315,1890,4122,1675,3529,1185,1378,31,72,3924,19515,4565,21501,840,2134,5670,15776
47,TN,7,Bledsoe County,3997,2124,2617,8908,2803,139179,3086,102662,1302,2149,349,707,292,457,899,7267,503,287,3273,291,6559,831,14467,543,3284,488,4715,0,0,510,10993,30,130,439,788,421,464,505,1412,385,3368,381,2792,2634,77566,1234,1268,720,829,54,26,186,122,1208,2714,1037,2250,803,959,0,0,2193,10444,2675,12014,529,1291,3272,10283
47,TN,9,Blount County,55169,25897,29256,113290,32564,2585282,44732,1890302,20538,40121,8940,29964,7929,19921,8768,104317,1016,6467,50884,5461,80323,13092,265336,5039,32195,8063,88280,255,5428,14098,284870,724,4293,11981,24154,12836,24675,13853,54560,11487,108870,11119,59694,41106,1669314,18082,20989,9387,11542,2309,1116,3320,2922,10841,22810,9376,19579,7663,9712,433,1488,36465,261799,40045,282537,8150,25143,45122,127503
47,TN,11,Bradley County,42718,19106,24882,92986,28745,1891098,35989,1389473,12092,45894,4766,24472,4192,19982,7065,80708,765,3714,29221,3392,44040,7840,129983,4272,23465,4838,51442,132,2427,9118,208024,759,11011,7497,14834,8236,14185,9007,40484,7392,64562,7355,63103,30409,1194177,14284,19754,8058,9348,1255,586,2099,1803,10141,21727,8850,18784,8003,11869,255,974,25717,195844,29066,214106,5574,18010,35863,123421
47,TN,13,Campbell County,14643,6893,10174,31088,9544,533247,11948,405549,3961,9322,1169,4583,1010,3457,2539,24282,279,1082,7349,854,10392,2679,46535,1848,11453,1729,16528,21,399,1791,36169,197,1102,1446,2761,1580,2196,1764,6161,1399,11751,1221,7252,9899,311546,4272,4408,2503,2910,209,107,635,475,4229,9576,3743,8037,2814,3250,65,253,8629,44338,10147,48826,1702,4721,12524,35648
47,TN,15,Cannon County,5818,2678,3824,12006,3637,212554,4625,164480,2034,3460,577,2029,489,1068,1160,10062,674,538,2057,468,5283,1210,19599,677,4209,700,6342,0,0,933,16716,42,238,813,1374,830,1073,917,2737,744,6330,656,3024,4134,124344,1709,1930,977,1214,171,82,276,234,1368,2848,1142,2357,873,1059,25,79,3623,16282,4186,18358,830,1922,4751,12752
47,TN,17,Carroll County,11812,5320,7573,24701,7716,436710,9526,331160,3756,6517,1385,2766,1239,2015,1890,19376,702,957,5821,988,10778,2460,38690,2027,12867,1520,13959,26,315,1477,29097,72,1581,1250,2675,1271,1681,1444,6093,1064,7814,1107,5758,8218,260214,3505,3964,1997,2353,362,180,598,528,3085,6879,2735,6195,1974,2315,47,135,7164,36488,7982,40290,1484,4935,9867,28696
47,TN,19,Carter County,22757,10345,12428,45443,12850,795411,18645,594914,7415,11725,2094,4119,1779,2450,3630,40870,453,1839,8707,1721,18097,4572,71346,2699,17339,2699,24668,56,1236,2883,53459,270,1260,2356,4463,2542,3555,2844,9412,2153,16349,2159,12164,15755,460063,6625,6765,3498,3943,562,259,1170,918,6143,12765,5353,11005,3718,4319,67,206,13715,64003,15664,71142,2702,6079,19300,50419
47,TN,21,Cheatham County,17700,8215,9562,38114,12094,800089,14978,645459,5919,7256,2026,3509,1750,2238,3467,39949,518,1527,9648,1259,14951,3123,51439,1786,11095,1822,18013,83,1104,4531,84163,140,769,3840,7135,4186,6562,4460,14747,3992,35855,3262,12118,13440,506794,5994,8240,3561,4555,927,487,1022,970,3482,7674,2953,6262,2661,3651,78,223,11884,71086,13311,79068,2678,7909,14533,41619
47,TN,23,Chester County,6498,3078,3821,13999,4467,235769,5368,186637,1972,3258,710,1338,625,776,1120,11203,401,505,2252,500,6235,1168,18227,785,4708,758,7117,21,302,969,18469,44,109,817,1592,850,952,942,2703,724,5488,766,4308,4545,136790,2113,2359,1259,1502,266,125,284,238,1710,3948,1509,3409,1202,1493,27,115,3887,17557,4443,20040,839,2393,5441,15249
47,TN,25,Claiborne County,12158,5962,8973,25695,7738,449446,10052,339814,3762,10320,965,3389,873,2679,2064,23956,1061,1277,18682,672,7722,2001,33067,1445,8026,1322,12389,0,0,1619,32828,395,2714,1094,1890,1354,1962,1590,6717,1205,9923,1068,5828,8331,264145,3839,3883,2063,2389,200,87,562,501,3521,7702,3069,6535,2139,2535,63,466,7148,37433,8335,41403,1379,4652,10381,30203
47,TN,27,Clay County,2966,1377,1941,6264,1961,85024,2296,65542,1094,2200,228,430,189,203,731,6529,426,332,1632,182,3005,528,8347,429,2273,288,2377,0,0,292,5476,34,106,237,432,237,320,285,866,194,1345,196,750,1795,44151,762,740,435,489,54,19,123,96,987,2129,857,1749,603,770,0,0,1521,5603,1947,6739,332,842,2509,7476
47,TN,29,Cocke County,14215,6134,9532,29143,8704,451204,11651,342394,4192,5962,1211,2868,984,2011,2364,18968,612,1072,3703,850,10268,2723,40553,2295,12666,1559,13652,22,307,1559,28520,133,495,1281,2210,1341,1849,1536,4662,1165,9344,1099,5006,9143,245487,3794,3614,2104,2266,158,67,645,533,4591,10452,4091,9019,2842,3301,32,84,7882,32015,9290,35926,1405,3136,12377,35370
47,TN,31,Coffee County,23146,10191,13645,47959,14887,960419,18732,697455,9497,17955,3112,8930,2755,6145,3771,50101,916,2485,14364,2478,39287,4420,80424,2354,14513,3123,33760,102,1427,4015,75839,229,1059,3406,7331,3590,7355,3952,15968,2996,25446,3101,15688,16148,607138,6993,8054,3808,4706,731,325,1211,1139,5552,12240,4901,10493,3809,4823,132,332,14239,91757,15989,100786,3187,11944,19158,53114
47,TN,33,Crockett County,6177,2572,3965,13417,4306,225194,5106,175000,1792,3904,528,1205,469,861,1031,10616,379,415,6318,513,5414,968,13059,779,4502,675,6718,0,0,779,14083,36,219,673,1236,627,804,767,2300,538,3820,615,3497,4269,140518,1942,2117,1247,1354,208,120,289,281,1773,4169,1561,3711,1361,1753,36,90,3543,20832,4025,23537,897,5177,5039,14858
47,TN,35,Cumberland County,25352,12863,14161,51751,13099,997299,17878,557598,10279,22959,4526,17756,4035,11598,4763,54414,793,3827,16801,3964,61950,7634,179368,2583,14013,5614,64031,86,1945,4788,95327,423,1920,4006,7492,4239,5773,4720,15513,3600,30350,3768,18533,17484,599302,7356,7214,3265,3587,461,210,1773,1475,5873,13164,5013,10977,4004,5343,128,412,15109,90007,17411,99397,3953,11959,20073,56171
