County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
1,"$1 under $25,000",6224,1680,4043,10987,4049,74084,3973,41652,1723,1970,762,925,642,486,1210,11748,544,519,-191,576,2659,1218,8565,685,5104,275,446,0,0,321,4742,183,211,121,82,225,271,314,612,145,789,234,675,2429,14020,619,226,63,21,188,74,26,8,869,994,1483,3330,1340,3044,0,0,2014,1260,2506,1882,564,276,4867,7876
1,"$25,000 under $50,000",3541,1702,2486,8727,3434,127483,2932,93043,1317,1754,615,918,552,566,649,8349,309,399,139,434,3453,739,8699,606,3659,658,4087,0,0,675,9313,608,1072,52,56,576,660,674,1903,464,2423,466,1550,3294,62751,1580,1415,262,175,839,816,98,41,584,953,718,1204,585,1000,21,26,2650,6173,2831,7016,416,498,3099,8084
1,"$50,000 under $75,000",2215,1786,1582,6338,2314,136598,1980,105765,1084,1648,553,881,490,519,369,3578,152,386,763,298,3496,545,8200,365,2505,420,5958,0,0,753,12551,713,1943,24,35,687,913,753,3066,593,3685,587,2668,2199,85068,1276,2191,305,241,833,1415,188,89,154,228,0,0,0,0,0,0,2031,9105,2067,9894,410,815,1799,5449
1,"$75,000 under $100,000",1160,1077,817,3391,1148,99361,1057,75835,685,1590,361,713,324,486,201,2243,106,252,718,186,2480,351,6342,127,654,229,4326,0,0,599,10825,579,2251,23,40,567,873,599,3296,484,3178,523,2697,1160,69680,692,1320,192,169,429,809,102,40,0,0,0,0,0,0,0,0,1141,8341,1149,9023,259,762,901,3051
1,"$100,000 under $200,000",730,677,525,2235,826,93806,662,62972,538,1381,336,1033,282,673,134,2389,90,275,3591,121,3085,202,4710,41,304,144,3043,36,420,547,12842,536,3016,0,0,520,1023,547,4230,425,3004,510,4533,729,70716,455,792,147,167,217,343,68,30,0,0,0,0,0,0,0,0,725,11114,725,11842,275,1706,451,2039
1,"$200,000 or more",145,137,128,461,178,64979,129,18062,131,2391,87,846,77,618,38,2281,0,89,2360,22,788,31,606,0,0,30,747,0,0,134,7792,131,2766,0,0,128,425,134,3251,82,952,131,3070,145,55386,60,103,0,0,0,0,0,0,0,0,0,0,0,0,78,331,145,15324,145,15715,76,3320,69,1483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Allen County,165486,65104,82215,339725,113868,8229698,137812,5884456,60403,106068,32923,140294,29600,98731,21133,194225,1775,23847,311089,17672,235531,33478,479114,20948,156534,18458,209472,707,14139,45216,919357,41664,205486,2569,2798,41891,84824,45111,310133,37363,272251,37199,176281,121686,5482291,59685,77685,10736,8211,29692,39251,6496,3139,24502,32570,32346,71740,28984,64058,2528,13875,105298,909360,114319,955752,22231,87512,135527,399250
3,Under $1,2228,560,1435,3073,605,-85966,549,16628,742,5349,665,2541,600,1953,547,-8756,111,892,3737,170,4085,216,1585,51,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,107,203,177,148,142,0,0,0,0,233,429,116,118,1004,5488
3,"$1 under $25,000",71732,9597,32715,107738,33353,860507,54548,608017,15437,14612,7679,11532,6714,6333,8024,49395,518,5042,-2527,5473,27005,12036,91632,9365,69705,2793,4495,0,0,4248,58812,2587,2785,1332,786,3228,4539,4180,8938,2395,12796,2851,5978,31651,188258,10361,3907,691,252,2859,1005,574,189,15602,18488,23727,56913,21865,51433,25,35,24299,16240,30908,24603,5421,2488,60036,126436
