County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
1,"$1 under $25,000",4548,851,2714,6561,1753,52322,3507,40284,1292,1586,513,675,475,388,603,2988,234,360,220,290,1382,648,4845,348,1575,129,201,0,0,191,2423,63,75,115,56,116,135,186,304,70,337,106,226,1964,11097,575,191,35,9,143,51,34,11,791,905,1482,3192,1310,2906,0,0,1553,975,2008,1553,447,221,3653,7110
1,"$25,000 under $50,000",2234,1067,1502,4730,1419,80157,1925,62212,1019,1378,479,658,445,480,409,2973,209,307,761,212,1704,476,7551,218,1010,439,2315,0,0,345,5245,264,434,78,66,285,309,343,885,223,1125,239,798,2176,41212,1054,903,129,87,541,501,123,60,416,628,485,861,409,709,0,0,1726,4010,1883,4712,312,381,1909,5151
1,"$50,000 under $75,000",1212,929,878,3185,1039,74349,1070,58003,730,1177,347,753,327,461,284,1991,164,216,741,144,1609,307,6871,105,434,247,3019,0,0,398,6311,362,908,29,48,363,463,398,1555,314,1915,301,941,1207,47665,700,1072,156,112,436,703,139,65,58,88,0,0,0,0,0,0,1142,5316,1162,5807,251,487,957,2703
1,"$75,000 under $100,000",582,497,406,1589,508,49909,490,34740,435,868,226,434,209,337,130,1580,89,142,456,98,1316,183,6907,43,192,133,2116,0,0,296,5192,278,953,26,68,273,401,295,1506,227,1480,244,903,582,35633,333,588,79,80,203,346,56,25,0,0,0,0,0,0,0,0,576,4520,578,4989,148,532,434,1439
1,"$100,000 under $200,000",514,460,386,1480,505,66587,427,42425,418,1223,271,901,245,685,149,3782,85,215,1969,121,2809,175,7409,0,0,133,2535,53,974,367,8510,357,2119,0,0,350,656,367,2957,292,2273,336,1960,514,50971,288,415,83,93,123,187,44,18,0,0,0,0,0,0,0,0,514,8405,514,9110,176,1104,337,1683
1,"$200,000 or more",120,104,108,358,133,57932,100,19005,113,1265,85,6136,81,5786,50,7279,24,82,10181,0,0,22,713,0,0,20,465,0,0,110,8668,106,2233,0,0,102,315,110,2627,78,1032,102,4607,120,47832,54,560,0,0,0,0,0,0,0,0,0,0,0,0,109,561,120,11414,120,12073,56,3128,64,939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Andrew County,8152,3938,4937,16608,4984,398460,6791,303240,3578,5584,1411,4494,1267,3005,1283,11176,742,1091,9586,755,9560,1747,29650,869,5090,1022,10181,33,525,2163,43168,1855,8506,269,257,1958,3775,2158,13605,1691,13319,1653,6448,6364,260717,2958,3629,579,433,1602,2192,447,204,908,1053,1290,2557,1098,2286,117,567,5694,38942,6127,41744,1478,5961,6342,16950
3,Under $1,129,54,106,204,25,-4561,23,397,61,226,28,71,26,55,47,-168,51,48,327,0,0,22,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,0,0,45,125
3,"$1 under $25,000",3035,546,1567,4098,1039,36297,2291,25840,889,1181,329,527,293,274,365,1531,155,243,212,239,1200,538,4280,277,1833,125,213,0,0,187,2761,53,44,119,71,136,185,184,352,95,585,110,186,1432,8024,391,133,27,6,116,46,32,8,505,525,884,1911,783,1765,0,0,1171,711,1453,1062,373,198,2426,4382
3,"$25,000 under $50,000",2051,846,1234,4106,1179,75349,1792,58918,783,1119,274,462,241,262,313,2276,174,203,368,186,1368,459,6811,270,1635,403,2313,0,0,388,5678,295,500,82,82,321,452,386,1168,280,1747,240,567,2003,40364,913,820,148,93,502,508,102,51,326,415,406,646,315,521,0,0,1675,4147,1772,4695,317,451,1725,4498
3,"$50,000 under $75,000",1294,981,876,3354,1066,80197,1156,63121,702,948,248,587,220,308,254,2093,147,184,224,136,1766,304,6280,178,974,227,2968,0,0,472,8098,429,1033,39,45,437,704,472,2006,390,2667,354,1019,1288,51311,690,1115,164,126,455,738,141,60,77,113,0,0,0,0,0,0,1215,5859,1242,6419,284,618,1009,3039
