County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
1,"$1 under $25,000",28879,3999,15533,49656,15434,374966,22992,280863,5667,5709,2522,4064,2258,2551,3601,20176,179,1655,-650,2046,11044,3661,28962,3815,26711,1137,2029,22,147,2396,33457,1101,1150,1039,832,1840,2817,2347,5099,1423,8854,1700,3651,12282,70484,4494,1518,201,79,1653,538,359,119,8520,10436,11215,27973,10431,25549,0,0,8991,6015,12120,9845,2373,1324,24713,57590
1,"$25,000 under $50,000",17117,5589,8852,37482,12316,609325,15143,489715,5593,5580,2168,5279,1942,3677,1908,13100,145,1482,875,1639,14460,3194,44229,2139,19671,2882,17901,0,0,5155,72558,4317,8759,678,647,4414,6405,5145,16657,4022,25664,3873,10288,16409,301297,8140,7217,813,577,4849,4412,1082,534,3805,6140,4009,6688,3346,5700,0,0,12669,29390,13373,32402,2353,2850,14674,38563
1,"$50,000 under $75,000",8755,5803,4728,21220,6390,538908,7706,410551,4731,5826,1988,5777,1762,4013,1426,10578,128,1345,1789,1237,14739,2403,48284,1075,10460,1945,28604,33,219,4941,85047,4475,14799,372,420,4531,7383,4938,23589,4192,30820,4105,12700,8710,337647,4337,6451,830,701,2744,4257,870,395,378,508,0,0,0,0,39,66,8295,39786,8417,42425,2181,3866,6555,16823
1,"$75,000 under $100,000",5157,4398,2731,13847,4230,445013,4649,343524,3397,4137,1533,5246,1376,4053,940,8353,100,1085,1825,896,14939,1475,37536,491,4509,1153,22334,26,212,3884,76813,3680,17759,143,206,3685,6780,3884,25743,3446,28109,3374,11965,5151,303299,2867,4825,632,587,1825,3007,695,326,31,36,0,0,0,0,24,48,5106,38252,5120,40307,1382,3225,3767,11350
1,"$100,000 under $200,000",4742,4341,2660,13621,4517,612647,4363,470868,3691,7817,1932,9716,1778,7485,940,14930,109,1474,18873,812,20603,1400,43590,334,3100,869,18639,79,1122,4309,110334,4181,32245,106,340,4159,9933,4307,43770,3812,36959,4016,19168,4734,447772,2728,3987,680,649,1250,1712,678,322,0,0,0,0,0,0,138,397,4723,72666,4730,76081,1776,7562,2958,12115
1,"$200,000 or more",944,844,760,2658,867,376281,850,195381,876,10330,670,16159,641,13427,245,17176,43,627,34470,184,8293,225,7077,26,253,217,5236,65,1967,931,61917,911,25843,0,0,889,4662,930,30953,713,10740,876,14843,944,304533,492,1030,114,120,0,0,65,31,0,0,0,0,0,0,683,5099,944,79764,944,82234,495,11511,447,7465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Alexander County,15041,7266,10077,31936,9819,589086,12512,447060,6189,8852,2073,6608,1863,4963,2375,18485,525,1500,8275,1570,17800,2691,38443,3033,21508,1802,18184,28,262,4077,77142,3492,17472,507,482,3741,5602,4070,24276,3304,23356,3428,15115,10826,344400,4973,5259,734,608,2777,3280,639,256,2548,3317,3432,7234,2954,6332,111,514,9328,47757,10406,51981,2039,4998,12359,33296
3,Under $1,208,92,156,321,40,-14558,63,1299,103,312,47,96,45,63,73,-648,55,75,241,22,157,30,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37,0,0,87,191
3,"$1 under $25,000",6639,1530,4239,11161,3362,85541,5025,60532,1772,1708,500,774,448,472,954,5439,137,356,-67,573,3182,898,5834,1268,8641,257,467,0,0,510,6866,224,279,252,210,415,498,505,1054,304,1834,398,989,2810,16522,831,232,46,17,287,87,67,22,1583,1894,2406,5455,2131,4861,0,0,2275,1528,3044,2543,595,326,5552,11766
