County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
1,"$1 under $25,000",14170,2546,6663,22398,6505,177067,10646,124572,3080,3851,1075,1501,904,836,2039,14730,90,679,-212,898,4515,2300,21211,1328,8871,661,1167,0,0,775,11678,21,17,620,1207,591,899,735,2176,433,2691,487,1290,6268,36801,1770,586,137,61,536,173,118,42,3239,3796,5253,12139,4715,10493,0,0,5088,3348,6817,5785,1129,599,12201,25700
1,"$25,000 under $50,000",8030,3268,4050,17904,4844,291287,6793,226091,2648,3606,923,2122,809,1387,898,6713,90,598,478,805,6456,1892,32317,783,5041,1730,10722,24,204,1357,19711,47,84,1133,1504,1163,1760,1322,3406,956,6261,958,2928,7754,149110,3600,3156,505,408,2116,1935,291,145,1546,2930,1706,2886,1404,2402,0,0,6248,15079,6543,16647,1028,1326,6968,19921
1,"$50,000 under $75,000",4520,2994,2304,10840,3133,278163,3858,210572,2198,3514,891,2379,759,1483,631,6379,89,615,460,624,6983,1373,31680,371,2113,1100,16065,0,0,1402,23756,64,149,1199,2121,1296,2093,1381,4431,1121,8584,1044,4187,4506,183461,2184,3240,485,458,1348,2138,230,122,171,298,0,0,0,0,0,0,4332,22509,4382,23867,864,1653,3651,10416
1,"$75,000 under $100,000",2877,2368,1423,7381,2116,248602,2449,186173,1795,3452,767,2928,679,1929,414,4556,70,547,976,458,6547,991,28480,173,1148,741,14271,21,180,1256,23637,58,253,1111,2329,1180,2227,1249,4878,1007,8579,1056,5200,2871,180590,1532,2396,434,406,882,1459,221,111,0,0,0,0,0,0,0,0,2858,23984,2867,25126,639,1618,2232,7639
1,"$100,000 under $200,000",3030,2710,1395,8169,2409,400316,2703,298696,2318,5306,1189,4941,1038,3349,600,14454,84,852,3795,512,10558,1134,43961,146,953,703,15553,62,995,1833,41003,136,622,1589,4283,1797,4740,1833,9754,1559,15842,1661,10748,3029,315830,1621,2137,538,537,591,813,222,113,0,0,0,0,0,0,53,77,3022,54589,3026,57151,1057,4461,1970,8158
1,"$200,000 or more",556,514,369,1559,484,207286,491,118347,507,3931,361,5131,338,3963,173,12549,29,324,16417,104,5430,196,10096,0,0,113,2940,62,2132,468,19052,69,1226,391,1531,454,2205,467,4987,368,5474,441,6905,556,181537,256,618,74,104,0,0,25,14,0,0,0,0,0,0,208,676,555,45996,555,47992,227,4641,326,5861
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bedford County,19353,7898,12483,44738,14231,698747,16007,552026,5928,15201,2111,8042,1902,5656,3216,35334,1291,1635,13561,1427,18508,3276,48456,2368,16137,1951,19912,53,924,3116,58645,168,938,2638,4732,2675,3915,3073,9856,2439,20375,2236,10798,13131,416059,6267,6835,849,771,3944,4303,712,344,4705,7254,4937,11107,4343,9672,86,319,10609,59086,12187,66201,2387,7314,16283,48872
3,Under $1,393,181,318,671,108,-30948,103,2521,185,1009,95,647,81,450,184,-2822,137,125,377,46,341,68,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,39,30,25,0,0,0,0,66,86,40,41,151,689
3,"$1 under $25,000",9180,1751,5853,18045,5789,119749,7121,89010,1707,2523,517,751,455,480,1357,8967,311,382,141,467,2801,1147,8518,1381,9588,285,440,0,0,435,6291,0,0,352,406,321,343,421,896,273,1862,244,555,3665,20617,1290,454,58,27,588,202,92,30,3071,4031,3629,8880,3301,7860,0,0,2665,1741,3854,3296,722,442,8004,19507
