CBSACODE,CBSATITLE,CBSASTATUS,agi_stub,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
10140,"Aberdeen, WA Micro Area",Micropolitan Statistical Area,2,12207.0,2277.0,5251.0,19528.0,5520.0,153580.0,8987.0,101668.0,3021.0,3987.0,1089.0,1839.0,930.0,1089.0,1249.0,7088.0,91.0,881.0,-290.0,815.0,4761.0,2049.0,20000.0,1992.0,14702.0,619.0,1009.0,26.0,122.0,920.0,14516.0,20.0,95.0,743.0,720.0,763.0,1468.0,889.0,2481.0,613.0,4152.0,509.0,850.0,5416.0,31911.0,1341.0,450.0,542.0,189.0,73.0,23.0,63.0,25.0,4112.0,8471.0,3689.0,7851.0,2456.0,2758.0,0.0,0.0,4449.0,2925.0,5351.0,4203.0,979.0,572.0,10268.0,20217.0
10140,"Aberdeen, WA Micro Area",Micropolitan Statistical Area,3,7874.0,3009.0,3750.0,16459.0,5220.0,286204.0,6298.0,201585.0,2971.0,3469.0,1043.0,1988.0,895.0,1185.0,780.0,7634.0,64.0,794.0,593.0,745.0,6536.0,1810.0,33723.0,1667.0,17526.0,1727.0,10459.0,0.0,0.0,1714.0,25730.0,44.0,94.0,1460.0,1885.0,1519.0,2987.0,1687.0,5148.0,1365.0,10233.0,1008.0,2083.0,7616.0,148709.0,3169.0,2821.0,1968.0,1939.0,219.0,108.0,365.0,242.0,1482.0,2497.0,1214.0,2150.0,1270.0,1903.0,49.0,68.0,6336.0,15586.0,6564.0,17223.0,1099.0,1595.0,6726.0,18027.0
10140,"Aberdeen, WA Micro Area",Micropolitan Statistical Area,4,4550.0,2972.0,2285.0,10871.0,3223.0,279438.0,3849.0,201311.0,2397.0,3241.0,841.0,2140.0,735.0,1392.0,614.0,7380.0,78.0,618.0,935.0,592.0,7291.0,1246.0,31067.0,961.0,8905.0,1130.0,15965.0,34.0,258.0,1731.0,30474.0,51.0,105.0,1496.0,2217.0,1620.0,3683.0,1714.0,6215.0,1474.0,13217.0,1139.0,2922.0,4534.0,180818.0,2038.0,3005.0,1338.0,2152.0,184.0,86.0,386.0,319.0,0.0,0.0,0.0,0.0,200.0,265.0,25.0,24.0,4338.0,22109.0,4382.0,23572.0,970.0,2239.0,3567.0,10588.0
10140,"Aberdeen, WA Micro Area",Micropolitan Statistical Area,5,2507.0,2143.0,1281.0,6601.0,1902.0,216422.0,2166.0,157392.0,1601.0,2324.0,642.0,1835.0,574.0,1230.0,371.0,4778.0,48.0,482.0,1447.0,402.0,8013.0,776.0,22665.0,517.0,4848.0,620.0,11750.0,0.0,0.0,1249.0,24422.0,34.0,96.0,1110.0,2193.0,1203.0,3045.0,1240.0,5506.0,1114.0,11037.0,924.0,2398.0,2505.0,153815.0,1214.0,1969.0,762.0,1290.0,153.0,84.0,277.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2479.0,20174.0,2484.0,21213.0,608.0,1738.0,1893.0,6782.0
10140,"Aberdeen, WA Micro Area",Micropolitan Statistical Area,6,1906.0,1706.0,1110.0,5137.0,1511.0,241518.0,1676.0,169783.0,1481.0,2746.0,677.0,2908.0,618.0,2272.0,347.0,7619.0,72.0,541.0,4816.0,340.0,10916.0,590.0,22018.0,281.0,2497.0,425.0,8816.0,31.0,441.0,1244.0,28431.0,65.0,603.0,1129.0,2865.0,1207.0,3970.0,1240.0,7236.0,1134.0,12929.0,990.0,3632.0,1904.0,186766.0,948.0,1399.0,451.0,662.0,154.0,91.0,226.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,46.0,1901.0,30961.0,1900.0,32474.0,649.0,3676.0,1250.0,5667.0
10140,"Aberdeen, WA Micro Area",Micropolitan Statistical Area,7,283.0,235.0,247.0,782.0,264.0,110436.0,233.0,45795.0,251.0,3745.0,179.0,3767.0,172.0,3291.0,85.0,7319.0,0.0,174.0,10918.0,64.0,5373.0,69.0,3949.0,0.0,0.0,67.0,1504.0,25.0,727.0,237.0,10039.0,0.0,0.0,219.0,845.0,234.0,1479.0,236.0,2695.0,172.0,2832.0,209.0,2812.0,282.0,97077.0,122.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,447.0,282.0,24509.0,283.0,25309.0,124.0,4099.0,158.0,3575.0
10180,"Abilene, TX Metro Area",Metropolitan Statistical Area,0,70663.0,29959.0,39497.0,143670.0,44989.0,3313534.0,59260.0,2222907.0,23033.0,51034.0,10353.0,60291.0,9212.0,46206.0,12312.0,160763.0,3521.0,8138.0,285984.0,5727.0,73449.0,13249.0,264340.0,3177.0,22564.0,7781.0,81255.0,334.0,7295.0,12057.0,270322.0,424.0,1641.0,10337.0,17992.0,10424.0,33830.0,11869.0,54376.0,8262.0,60397.0,9501.0,81178.0,51710.0,2208570.0,23510.0,26782.0,12363.0,15101.0,3169.0,1588.0,2591.0,2177.0,17744.0,40748.0,15851.0,36808.0,12243.0,15527.0,685.0,3362.0,44197.0,353055.0,48854.0,379820.0,10520.0,50961.0,57691.0,184756.0
10180,"Abilene, TX Metro Area",Metropolitan Statistical Area,1,1252.0,468.0,885.0,1818.0,195.0,-49994.0,267.0,7404.0,506.0,1635.0,332.0,1404.0,296.0,1091.0,482.0,-4607.0,291.0,438.0,6024.0,90.0,1475.0,150.0,1646.0,0.0,0.0,0.0,0.0,21.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,45.0,45.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,333.0,63.0,80.0,526.0,2736.0
10180,"Abilene, TX Metro Area",Metropolitan Statistical Area,2,32023.0,5632.0,17343.0,50964.0,15799.0,410767.0,26282.0,330206.0,5696.0,7754.0,2267.0,3687.0,1953.0,2276.0,4546.0,26120.0,691.0,1774.0,33.0,1514.0,8076.0,3659.0,33136.0,1466.0,9634.0,933.0,1516.0,0.0,0.0,1342.0,21280.0,26.0,33.0,1104.0,1494.0,912.0,1898.0,1282.0,3554.0,556.0,3459.0,851.0,2376.0,14904.0,91232.0,4804.0,1628.0,1371.0,483.0,334.0,110.0,152.0,66.0,12907.0,32212.0,11783.0,29432.0,7948.0,9488.0,0.0,0.0,11771.0,8117.0,15221.0,12923.0,2603.0,1549.0,27759.0,67572.0
10180,"Abilene, TX Metro Area",Metropolitan Statistical Area,3,17694.0,7824.0,9545.0,38503.0,12552.0,633478.0,15515.0,517217.0,5267.0,7200.0,2004.0,4214.0,1743.0,2782.0,2491.0,18201.0,704.0,1491.0,1173.0,1358.0,10912.0,3452.0,58598.0,905.0,7042.0,2827.0,15643.0,0.0,0.0,2407.0,37945.0,119.0,211.0,1970.0,2040.0,1931.0,4292.0,2337.0,6551.0,1513.0,8931.0,1675.0,6680.0,17162.0,322162.0,8363.0,7724.0,5016.0,4791.0,957.0,476.0,683.0,458.0,4763.0,8491.0,4023.0,7355.0,3829.0,5512.0,0.0,0.0,13308.0,31421.0,14187.0,35506.0,2268.0,3080.0,15348.0,46853.0
