County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
1,"$1 under $25,000",2983,756,1567,4411,1025,37090,2085,21933,983,1018,398,647,346,318,469,2312,112,324,86,357,2333,679,6429,439,2855,164,243,0,0,296,4389,127,219,150,110,232,299,289,660,179,1381,184,270,1284,7344,345,123,31,11,100,41,28,7,441,464,959,1800,807,1605,0,0,1052,657,1377,1087,332,196,2376,4043
1,"$25,000 under $50,000",1808,956,1155,3721,944,65229,1353,39319,835,1071,337,708,297,372,301,2544,83,248,393,312,3139,606,12568,324,2515,606,3645,23,163,546,8420,417,769,110,106,490,654,542,1627,412,3118,383,783,1737,31616,715,542,126,73,328,297,70,31,260,385,313,585,248,456,0,0,1452,3203,1556,3694,341,408,1454,3513
1,"$50,000 under $75,000",966,726,653,2277,572,59251,749,35647,564,885,262,682,232,347,168,1355,78,206,487,205,3079,380,10824,181,1624,345,4981,0,0,451,8212,403,1152,61,103,420,605,450,1921,356,2951,354,846,961,37095,448,615,121,87,232,389,55,21,41,54,0,0,0,0,0,0,921,4343,931,4646,274,524,690,1778
1,"$75,000 under $100,000",545,488,370,1367,333,46998,416,25810,379,894,187,587,163,346,95,936,35,150,819,159,3463,251,8656,83,712,225,4442,0,0,344,7199,327,1374,0,0,333,632,344,2129,270,2284,305,894,545,32449,262,440,94,98,126,235,42,20,0,0,0,0,0,0,0,0,536,4042,538,4245,141,404,404,1278
1,"$100,000 under $200,000",374,336,268,928,218,47653,305,28387,282,909,165,699,154,392,77,901,21,135,1481,107,3207,175,7661,39,345,136,2842,0,0,313,8182,306,2076,0,0,306,752,313,2973,251,2640,285,920,372,35543,176,299,56,65,60,78,33,14,0,0,0,0,0,0,27,37,372,5798,373,6020,157,793,217,889
1,"$200,000 or more",56,50,50,150,44,23120,46,9251,51,954,40,339,37,251,0,0,0,36,3843,0,0,0,0,0,0,0,0,0,0,56,3171,56,1395,0,0,54,223,56,1650,40,517,54,364,56,19402,31,35,0,0,0,0,0,0,0,0,0,0,0,0,41,220,55,4857,55,4909,26,956,30,293
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Anoka County,160760,69066,81849,323792,102680,9162663,139772,7253775,63501,73967,33624,83475,29686,59647,21607,183787,676,23388,209321,15395,213226,29535,534607,20485,187457,17027,198976,619,8090,75138,1576229,68047,343029,5245,5218,71504,208616,74964,578420,66658,647637,62909,164858,131499,6038539,60970,82917,11715,9061,31357,43339,10019,4745,14748,19195,19769,37280,16851,32224,3198,15983,119048,937251,125712,979473,28357,96658,127113,331025
3,Under $1,1729,529,1160,2611,564,-89837,585,15843,653,2758,495,896,426,505,498,-9293,36,690,10090,128,2597,171,1400,64,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,210,223,332,185,244,0,0,0,0,218,521,87,207,762,2944
3,"$1 under $25,000",52292,5608,22812,63123,15616,620022,41247,450663,11739,8864,5382,6803,4574,3468,5968,35570,117,3765,-1943,3787,22959,7185,58883,5914,45873,2109,3485,30,121,5123,72961,2319,2602,2328,1548,4358,10066,5026,14893,3491,25233,3574,5602,26102,157679,7490,3091,327,129,1711,642,521,167,7499,8593,13343,27238,11728,24119,34,208,21021,14043,25378,20284,5906,2961,42249,67682
3,"$25,000 under $50,000",38191,10181,19276,70532,20847,1402185,33737,1126425,12231,9871,5435,7979,4708,4657,4336,32309,92,3622,3,3581,35481,6843,101428,5603,56076,5494,34778,66,345,14622,209639,12316,22256,1801,1708,13361,29289,14578,55770,12480,95620,10502,16884,36984,760089,15422,14612,2164,1399,7877,7609,1723,886,5533,8228,6203,9710,4938,7861,0,0,31313,81279,32893,88404,5470,6749,32548,74838
3,"$50,000 under $75,000",25842,14899,14482,60532,19456,1598715,23680,1291035,11856,9110,5914,8401,5163,5057,3926,30496,119,3825,1950,2874,36908,5687,113846,4001,39671,4158,59173,67,462,17232,296237,16149,46393,704,1044,16413,40284,17209,91799,15549,137364,13987,26381,25736,998132,12698,20147,2816,2098,7959,12703,1885,907,1403,1917,0,0,0,0,36,39,24260,119990,24717,127153,5093,8953,20700,58039
3,"$75,000 under $100,000",18577,15550,10369,51960,17688,1609849,17376,1320661,10322,8682,5585,8462,4938,5666,2926,26027,120,3601,4295,2306,38049,4536,108136,2672,25645,2873,53336,103,819,15195,304701,14693,59601,239,433,14799,41857,15189,106337,14074,137943,13355,29958,18559,1079154,10887,20310,2659,2068,7147,12730,2150,1048,182,247,0,0,0,0,45,72,18370,134575,18418,140804,3883,8140,14676,46542
3,"$100,000 under $200,000",20920,19358,11511,64837,24471,2718285,20095,2309573,13949,15276,8691,17392,7888,11901,3357,44996,149,5990,19582,2331,57226,4514,128209,2089,18058,2092,41567,208,2973,19788,508313,19439,133641,142,363,19450,68330,19785,210516,18349,207371,18451,56782,20912,1961552,12888,20169,3284,2791,6663,9655,3356,1573,0,0,0,0,0,0,611,1181,20880,316191,20882,326583,6274,22797,14623,56830
3,"$200,000 or more",3209,2941,2239,10197,4038,1303444,3052,739575,2751,19406,2122,33542,1989,28393,596,23682,43,1895,175344,388,20006,599,22705,142,1533,301,6637,145,3370,3178,184378,3131,78536,31,122,3123,18790,3177,99105,2715,44106,3040,29251,3206,1081933,1585,4588,465,576,0,0,384,164,0,0,0,0,0,0,2472,14483,3204,271173,3206,275724,1644,46851,1555,24150
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Becker County,15328,6972,9372,30548,9163,686867,12634,468482,6875,13832,2850,7995,2465,5007,2866,25457,905,2373,18349,1710,21391,3146,61468,1831,11740,2202,23153,77,840,4400,92510,3753,19155,540,803,4066,9659,4394,30545,3492,31192,3497,11343,11483,431731,5063,6446,946,790,2475,3421,756,308,1905,2557,2809,5768,2396,4958,214,1135,10071,63916,11183,69979,3015,12969,11662,28370
5,Under $1,263,116,218,466,106,-12135,93,1435,129,640,51,59,41,23,114,-458,72,102,283,28,458,31,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,63,32,44,0,0,0,0,54,97,25,42,115,283
5,"$1 under $25,000",6378,1121,3291,8940,2414,76921,5013,55451,1853,1961,653,1082,553,468,945,5570,226,566,51,487,2418,903,7179,599,3410,248,338,0,0,445,6698,185,231,230,386,353,641,441,1296,249,1728,303,523,2928,17516,802,274,53,18,213,77,58,12,1120,1273,2026,4401,1777,3927,0,0,2395,1591,3079,2598,716,443,5169,9389
5,"$25,000 under $50,000",3756,1626,2328,7719,2291,136452,3211,100025,1603,1845,590,1327,504,819,707,6259,216,455,987,419,3811,797,12854,625,4143,790,4397,0,0,924,13692,729,1339,164,142,826,1403,924,3009,710,4773,608,1285,3634,70497,1643,1423,277,171,797,764,191,75,609,996,741,1304,587,987,0,0,2957,7112,3246,8509,657,968,3072,7454
5,"$50,000 under $75,000",2355,1767,1625,6062,1921,144918,2059,103792,1382,1662,545,1188,468,724,504,4995,181,381,1520,334,4000,654,15310,391,2633,556,7346,40,355,1064,18352,974,2742,74,119,982,1818,1063,4848,870,6787,835,1982,2346,90648,1213,1936,255,185,768,1266,230,101,155,246,0,0,0,0,0,0,2175,10204,2246,11360,679,1324,1669,4501
5,"$75,000 under $100,000",1277,1147,899,3644,1212,110172,1107,76325,856,1223,401,1053,351,587,285,3472,92,333,2064,222,3904,377,11605,147,1001,312,5365,0,0,829,16263,781,3157,36,79,802,1794,828,5238,722,6610,707,1750,1276,75479,690,1390,169,151,442,895,157,70,21,42,0,0,0,0,0,0,1251,9051,1263,9876,358,1164,918,2805
5,"$100,000 under $200,000",1069,985,799,3054,996,137224,947,89402,841,2296,456,1748,409,1165,240,3109,88,387,5285,190,5070,343,12804,69,553,253,4839,37,485,918,23239,872,5903,36,77,895,2812,918,9095,778,8337,842,3187,1069,101078,603,1085,171,220,255,419,120,50,0,0,0,0,0,0,50,102,1063,15833,1065,16815,445,2602,624,2660
5,"$200,000 or more",230,210,212,663,223,93315,204,42052,211,4205,154,1538,139,1221,71,2510,30,149,8159,30,1730,41,1554,0,0,43,868,0,0,220,14266,212,5783,0,0,208,1191,220,7059,163,2957,202,2616,230,76513,112,338,21,45,0,0,0,0,0,0,0,0,0,0,164,1033,230,20125,230,20724,135,6426,95,1278
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Beltrami County,18982,7215,11285,38277,12367,781949,16137,567880,6291,14456,2736,7817,2359,5380,3139,21422,678,2167,16931,1644,20393,3424,76516,2179,16434,2235,24427,68,628,4921,97426,4299,21573,504,540,4470,11016,4903,34311,3741,27917,3916,13386,13658,477622,6430,7544,1041,813,3383,4204,1124,521,3409,4240,4862,10732,4386,9851,244,1315,11526,69186,12734,73851,2853,7502,15540,41549
7,Under $1,297,108,236,433,58,-9176,87,1701,130,324,67,182,61,86,110,-1045,68,116,1968,22,171,37,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,42,93,24,42,136,302
7,"$1 under $25,000",8768,1136,4776,13619,4342,105656,7404,83653,1571,1809,619,1039,513,626,1060,5671,183,476,231,392,2101,915,8114,863,5302,240,345,0,0,462,5988,208,261,220,121,348,639,449,1078,246,1534,296,522,3895,22560,1329,442,61,20,411,136,117,34,2254,2547,3628,8517,3349,7985,0,0,2949,1955,3780,3000,748,364,7600,16834
7,"$25,000 under $50,000",4460,1672,2647,9783,3383,160346,3928,126231,1376,1867,506,928,426,563,762,4838,166,396,574,393,3292,831,14619,643,5135,761,4210,0,0,1034,15138,856,1563,146,126,903,1753,1031,3597,763,4697,698,1470,4313,80657,2180,2106,273,170,1321,1287,351,186,1038,1545,1205,2186,1037,1866,0,0,3270,7703,3557,8807,600,805,3842,10693
7,"$50,000 under $75,000",2510,1704,1613,6248,1958,154483,2154,114784,1234,1905,508,1058,436,695,499,3000,112,383,993,317,3320,714,17888,382,3343,571,7581,35,208,1182,19754,1090,3246,71,157,1078,2197,1182,5822,929,6427,921,2120,2504,98197,1289,2111,263,168,826,1393,279,134,117,148,0,0,0,0,0,0,2378,11295,2419,12027,566,888,1937,5376
7,"$75,000 under $100,000",1488,1282,954,4086,1302,128092,1287,92413,912,1753,402,797,342,517,323,2430,69,291,1141,239,4234,461,15493,190,1715,335,5756,0,0,968,17908,919,3789,33,64,913,2090,967,6225,786,5756,842,2283,1487,89381,824,1538,228,179,512,921,214,101,0,0,0,0,0,0,0,0,1474,11181,1481,11717,376,892,1110,3359
7,"$100,000 under $200,000",1227,1110,857,3455,1106,155864,1076,106244,862,2701,494,1502,448,1117,294,4190,80,365,3128,242,6092,410,17665,101,939,281,5471,33,420,1048,24671,1004,6927,34,72,1011,3082,1047,10441,858,7295,951,3434,1227,116544,692,1108,190,203,313,467,163,66,0,0,0,0,0,0,62,113,1223,18828,1223,19647,435,1947,787,3140
7,"$200,000 or more",232,203,202,653,218,86684,201,42854,206,4097,140,2311,133,1776,91,2338,0,140,8896,39,1183,56,2394,0,0,47,1064,0,0,227,13967,222,5787,0,0,217,1255,227,7148,159,2208,208,3557,232,70283,116,239,26,73,0,0,0,0,0,0,0,0,0,0,182,1202,232,18224,232,18560,104,2564,128,1845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Benton County,18160,7461,10503,35510,11010,803904,15859,640285,7051,9520,2830,8260,2495,5873,2536,19771,860,2213,18921,1564,17200,2847,46175,2718,20690,1574,15589,63,620,6093,115915,5482,23916,491,498,5647,14069,6074,39939,5121,41602,4892,11574,14242,501945,7035,9085,1144,876,3575,5021,1367,648,2032,2625,2977,5399,2524,4753,186,1046,12477,68899,13436,73566,2902,8279,14650,35461
