STATEFIPS,STATE,COUNTYFIPS,COUNTYNAME,AGI_STUB,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
20,KS,019,Chautauqua County,0,1643.0000,799.0000,1145.0000,3286.0000,906.0000,64259.0000,1247.0000,39365.0000,699.0000,1426.0000,254.0000,1497.0000,230.0000,1168.0000,356.0000,3558.0000,288.0000,237.0000,7357.0000,165.0000,1829.0000,369.0000,5840.0000,186.0000,1238.0000,248.0000,2302.0000,0.0000,0.0000,289.0000,6542.0000,185.0000,1357.0000,91.0000,122.0000,231.0000,491.0000,286.0000,2128.0000,151.0000,880.0000,211.0000,965.0000,1111.0000,40554.0000,472.0000,474.0000,241.0000,291.0000,36.0000,13.0000,70.0000,51.0000,345.0000,695.0000,282.0000,607.0000,233.0000,298.0000,27.0000,258.0000,962.0000,6035.0000,1110.0000,6703.0000,302.0000,1434.0000,1210.0000,3510.0000
20,KS,021,Cherokee County,0,8955.0000,4254.0000,6338.0000,18804.0000,5893.0000,340793.0000,7446.0000,253979.0000,2877.0000,4631.0000,1363.0000,3783.0000,1236.0000,3141.0000,1289.0000,8036.0000,708.0000,849.0000,3318.0000,783.0000,7280.0000,1969.0000,26167.0000,1116.0000,6653.0000,1129.0000,10294.0000,0.0000,0.0000,1506.0000,30005.0000,1138.0000,6528.0000,341.0000,483.0000,1303.0000,2101.0000,1500.0000,9663.0000,1016.0000,5973.0000,1088.0000,4764.0000,6355.0000,200499.0000,2859.0000,3196.0000,1691.0000,2065.0000,358.0000,166.0000,350.0000,246.0000,2252.0000,4914.0000,1990.0000,4476.0000,1491.0000,1862.0000,36.0000,438.0000,5456.0000,28115.0000,6019.0000,30597.0000,1198.0000,3351.0000,7283.0000,21896.0000
20,KS,023,Cheyenne County,0,1335.0000,653.0000,966.0000,2542.0000,648.0000,46159.0000,918.0000,28268.0000,698.0000,1134.0000,323.0000,566.0000,257.0000,336.0000,301.0000,1781.0000,294.0000,292.0000,2145.0000,154.0000,1478.0000,272.0000,3165.0000,41.0000,180.0000,229.0000,2318.0000,0.0000,0.0000,246.0000,4947.0000,147.0000,808.0000,97.0000,82.0000,166.0000,285.0000,246.0000,1239.0000,86.0000,460.0000,194.0000,973.0000,912.0000,30988.0000,395.0000,426.0000,169.0000,217.0000,39.0000,17.0000,89.0000,73.0000,188.0000,347.0000,148.0000,270.0000,139.0000,198.0000,0.0000,0.0000,779.0000,4250.0000,924.0000,5224.0000,382.0000,1905.0000,802.0000,1951.0000
20,KS,025,Clark County,0,1013.0000,482.0000,752.0000,2043.0000,616.0000,44053.0000,772.0000,27632.0000,552.0000,948.0000,251.0000,617.0000,226.0000,402.0000,224.0000,2081.0000,154.0000,198.0000,1353.0000,142.0000,1444.0000,205.0000,2595.0000,33.0000,276.0000,186.0000,2034.0000,0.0000,0.0000,201.0000,4314.0000,137.0000,788.0000,64.0000,68.0000,147.0000,293.0000,201.0000,1231.0000,80.0000,399.0000,169.0000,959.0000,752.0000,28936.0000,319.0000,402.0000,166.0000,256.0000,35.0000,16.0000,52.0000,44.0000,152.0000,291.0000,123.0000,243.0000,104.0000,155.0000,0.0000,0.0000,677.0000,4317.0000,745.0000,4843.0000,250.0000,1251.0000,680.0000,1701.0000
20,KS,027,Clay County,0,3945.0000,2009.0000,2674.0000,7965.0000,2282.0000,172759.0000,3161.0000,115144.0000,1970.0000,3068.0000,943.0000,3099.0000,874.0000,2340.0000,611.0000,5595.0000,476.0000,809.0000,9001.0000,496.0000,3820.0000,889.0000,13446.0000,259.0000,1483.0000,588.0000,6474.0000,25.0000,410.0000,832.0000,16471.0000,566.0000,2787.0000,247.0000,366.0000,725.0000,1724.0000,830.0000,5206.0000,492.0000,3254.0000,632.0000,3174.0000,2922.0000,109438.0000,1382.0000,1662.0000,679.0000,922.0000,168.0000,86.0000,265.0000,228.0000,631.0000,1308.0000,532.0000,1168.0000,468.0000,641.0000,43.0000,185.0000,2572.0000,14879.0000,2837.0000,16916.0000,872.0000,4240.0000,2804.0000,7228.0000
20,KS,029,Cloud County,0,772.0000,377.0000,532.0000,1523.0000,394.0000,26906.0000,572.0000,17979.0000,385.0000,652.0000,163.0000,369.0000,147.0000,285.0000,128.0000,893.0000,164.0000,162.0000,1258.0000,91.0000,878.0000,147.0000,1722.0000,60.0000,271.0000,110.0000,1124.0000,0.0000,0.0000,82.0000,1620.0000,49.0000,234.0000,33.0000,31.0000,56.0000,79.0000,82.0000,372.0000,32.0000,165.0000,60.0000,247.0000,547.0000,16120.0000,245.0000,241.0000,113.0000,135.0000,36.0000,16.0000,49.0000,40.0000,156.0000,292.0000,127.0000,261.0000,98.0000,149.0000,0.0000,0.0000,471.0000,2023.0000,543.0000,2406.0000,173.0000,672.0000,545.0000,1405.0000
20,KS,031,Coffey County,0,4091.0000,2031.0000,2925.0000,8277.0000,2415.0000,198156.0000,3366.0000,149599.0000,1966.0000,3488.0000,747.0000,4252.0000,682.0000,3735.0000,715.0000,6318.0000,579.0000,601.0000,4617.0000,390.0000,4729.0000,896.0000,14173.0000,389.0000,2678.0000,534.0000,5942.0000,0.0000,0.0000,1056.0000,19420.0000,855.0000,4672.0000,176.0000,277.0000,935.0000,1730.0000,1051.0000,7085.0000,757.0000,4890.0000,792.0000,2624.0000,3063.0000,133618.0000,1407.0000,1753.0000,725.0000,990.0000,179.0000,78.0000,248.0000,205.0000,701.0000,1370.0000,601.0000,1193.0000,455.0000,565.0000,41.0000,265.0000,2729.0000,19963.0000,2964.0000,21676.0000,753.0000,3507.0000,3103.0000,8403.0000
20,KS,033,Comanche County,0,912.0000,448.0000,735.0000,1814.0000,491.0000,37251.0000,698.0000,21886.0000,491.0000,827.0000,190.0000,605.0000,169.0000,446.0000,208.0000,2638.0000,196.0000,182.0000,3284.0000,108.0000,742.0000,191.0000,2136.0000,30.0000,184.0000,168.0000,1688.0000,0.0000,0.0000,168.0000,3268.0000,106.0000,460.0000,59.0000,72.0000,116.0000,176.0000,166.0000,761.0000,51.0000,254.0000,132.0000,655.0000,663.0000,23966.0000,283.0000,359.0000,161.0000,225.0000,42.0000,18.0000,53.0000,51.0000,151.0000,280.0000,119.0000,242.0000,105.0000,132.0000,0.0000,0.0000,573.0000,3142.0000,648.0000,3807.0000,265.0000,1335.0000,586.0000,1396.0000
20,KS,035,Cowley County,0,15946.0000,6813.0000,10083.0000,33621.0000,10483.0000,660981.0000,12966.0000,481321.0000,5829.0000,9017.0000,2768.0000,8807.0000,2466.0000,6215.0000,2117.0000,20157.0000,967.0000,1994.0000,10685.0000,1702.0000,17929.0000,3793.0000,55619.0000,1503.0000,10157.0000,2193.0000,23770.0000,68.0000,879.0000,3682.0000,72954.0000,2683.0000,12317.0000,921.0000,1330.0000,3305.0000,7498.0000,3667.0000,23222.0000,2446.0000,14178.0000,2815.0000,12179.0000,11578.0000,405259.0000,5401.0000,6239.0000,3101.0000,3849.0000,514.0000,262.0000,868.0000,708.0000,3031.0000,6670.0000,2712.0000,6100.0000,2703.0000,4023.0000,116.0000,479.0000,9841.0000,57129.0000,10585.0000,62007.0000,2439.0000,8403.0000,12565.0000,34039.0000
20,KS,037,Crawford County,0,16572.0000,6722.0000,10194.0000,33036.0000,9846.0000,658174.0000,13628.0000,470217.0000,6349.0000,15464.0000,3267.0000,10409.0000,2975.0000,7565.0000,2458.0000,23438.0000,835.0000,2098.0000,10025.0000,1517.0000,16413.0000,3109.0000,46517.0000,1771.0000,12317.0000,1851.0000,19382.0000,64.0000,1086.0000,3243.0000,79281.0000,2440.0000,13780.0000,717.0000,951.0000,2832.0000,6361.0000,3220.0000,22522.0000,2268.0000,14737.0000,2465.0000,20742.0000,11313.0000,406065.0000,5165.0000,5846.0000,2714.0000,3437.0000,789.0000,359.0000,736.0000,592.0000,3699.0000,7503.0000,3272.0000,6791.0000,2568.0000,3323.0000,158.0000,925.0000,9668.0000,63722.0000,10591.0000,68140.0000,2293.0000,8295.0000,13264.0000,34311.0000
